Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,01Dec2016,30Mar2017,CE,10000.00,7.50,7.50,7.50,7.50,7.50,7.50,4.00,30.02,0.02,17475.00,300.00,8192.90
NIFTY,01Dec2016,30Mar2017,CE,10100.00,,,,192.00,,18.35,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,10200.00,,,,146.50,,14.80,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,10300.00,,,,162.90,,11.90,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,10400.00,,,,121.85,,9.55,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,10500.00,,,,107.00,,7.60,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,10600.00,,,,108.35,,6.05,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,10700.00,,,,57.40,,4.80,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,10800.00,,,,41.30,,3.75,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,10900.00,,,,43.65,,2.95,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,11000.00,,,,33.30,,2.30,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,11100.00,,,,14.50,,1.80,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,11200.00,,,,7.35,,1.40,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,11300.00,,,,12.55,,1.10,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,11400.00,,,,7.40,,0.85,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,5100.00,,,,2797.05,,3197.25,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,5200.00,,,,2766.40,,3099.30,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,5300.00,,,,2857.50,,3001.35,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,5400.00,,,,2767.40,,2903.40,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,5500.00,,,,2677.70,,2805.45,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,5600.00,,,,2588.60,,2707.50,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,5700.00,,,,2500.10,,2609.60,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,5800.00,,,,2412.30,,2511.65,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,5900.00,,,,2325.35,,2413.80,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,6000.00,,,,2242.00,2242.00,2315.95,,,,150.00,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,6100.00,,,,2154.15,,2218.20,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,6200.00,,,,2070.10,,2120.60,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,6300.00,,,,1987.25,,2023.15,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,6400.00,,,,1905.65,,1925.95,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,6500.00,,,,1825.45,,1829.10,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,6600.00,,,,1746.70,,1732.70,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,6700.00,,,,1669.50,,1636.95,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,6800.00,,,,1593.95,,1541.95,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,6900.00,,,,1520.10,,1448.00,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,7000.00,,,,1448.05,,1355.30,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,7100.00,,,,1377.85,,1264.15,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,7200.00,,,,1309.80,,1174.75,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,7300.00,,,,1243.50,,1087.50,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,7400.00,,,,1179.20,,1002.65,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,7500.00,,,,770.00,770.00,920.55,,,,225.00,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,7600.00,,,,1056.65,,841.50,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,7700.00,,,,998.70,,765.80,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,7800.00,,,,942.95,,693.90,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,7900.00,,,,889.35,,625.25,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,8000.00,,,,435.00,435.00,560.95,,,,13425.00,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,8100.00,,,,420.70,415.00,500.85,,,,13200.00,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,8200.00,,,,364.50,368.00,444.95,,,,2625.00,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,8300.00,,,,245.00,245.00,393.30,,,,300.00,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,8400.00,,,,205.00,205.00,345.85,,,,225.00,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,8500.00,209.00,209.00,185.00,187.05,186.85,187.05,74.00,482.43,10.68,113400.00,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,8600.00,,,,573.20,,263.45,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,8700.00,,,,536.15,,228.20,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,8800.00,,,,501.05,,196.65,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,8900.00,,,,467.80,,168.60,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,9000.00,55.00,58.90,50.80,52.40,52.00,52.40,153.00,1038.97,6.22,127725.00,5175.00,8192.90
NIFTY,01Dec2016,30Mar2017,CE,9100.00,40.00,40.00,40.00,40.00,40.00,40.00,1.00,6.86,0.03,2175.00,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,9200.00,31.00,31.00,31.00,31.00,31.00,31.00,53.00,366.93,1.23,9975.00,3975.00,8192.90
NIFTY,01Dec2016,30Mar2017,CE,9300.00,,,,352.15,,86.90,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,9400.00,,,,21.00,21.00,72.70,,,,116925.00,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,9500.00,19.00,19.00,15.00,15.45,15.00,15.45,42.00,299.75,0.50,151200.00,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,9600.00,,,,282.45,,50.20,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,9700.00,,,,155.00,155.00,41.40,,,,72375.00,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,9800.00,,,,242.80,,34.00,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,CE,9900.00,,,,224.55,,27.80,,,,,,8192.90
NIFTY,02Dec2016,30Mar2017,CE,10000.00,8.00,8.00,6.10,6.45,6.10,6.45,10.00,75.05,0.05,17550.00,75.00,8086.80
NIFTY,02Dec2016,30Mar2017,CE,10100.00,,,,192.00,,14.70,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,CE,10200.00,,,,146.50,,11.80,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,CE,10300.00,,,,162.90,,9.45,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,CE,10400.00,,,,121.85,,7.55,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,CE,10500.00,,,,107.00,,6.00,,,,,,8086.80
