Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,01Dec2016,30Mar2017,PE,10000.00,,,,1692.40,,1625.15,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,10100.00,,,,1768.90,,1718.80,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,10200.00,,,,1866.05,,1813.25,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,10300.00,,,,1931.00,,1908.30,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,10400.00,,,,1879.40,,2003.85,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,10500.00,,,,1916.75,,2099.90,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,10600.00,,,,1928.60,,2196.30,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,10700.00,,,,1884.90,,2293.00,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,10800.00,,,,1921.50,,2389.90,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,10900.00,,,,1941.60,,2487.05,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,11000.00,,,,1938.25,,2584.40,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,11100.00,,,,1942.25,,2681.85,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,11200.00,,,,1982.55,,2779.40,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,11300.00,,,,1935.15,,2877.00,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,11400.00,,,,2021.40,,2974.75,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,5100.00,,,,5.70,,,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,5200.00,,,,9.10,,,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,5300.00,,,,7.35,,,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,5400.00,,,,9.45,,0.05,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,5500.00,,,,12.00,,0.05,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,5600.00,,,,15.10,,0.05,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,5700.00,,,,18.85,,0.05,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,5800.00,,,,23.30,,0.10,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,5900.00,,,,28.55,,0.20,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,6000.00,,,,34.70,,0.30,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,6100.00,,,,41.80,,0.55,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,6200.00,,,,50.00,,0.85,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,6300.00,,,,59.35,,1.35,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,6400.00,,,,70.00,,2.10,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,6500.00,,,,82.05,,3.20,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,6600.00,,,,95.50,,4.80,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,6700.00,,,,110.55,,6.95,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,6800.00,,,,127.20,,9.95,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,6900.00,,,,145.60,,13.95,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,7000.00,28.00,28.00,28.00,28.00,28.00,28.00,1.00,5.27,0.02,19650.00,75.00,8192.90
NIFTY,01Dec2016,30Mar2017,PE,7100.00,,,,187.85,,26.00,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,7200.00,,,,212.00,,34.55,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,7300.00,,,,63.00,63.00,45.25,,,,3075.00,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,7400.00,,,,265.85,,58.35,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,7500.00,74.00,77.95,70.00,77.95,77.95,77.95,116.00,658.92,6.42,174975.00,1500.00,8192.90
NIFTY,01Dec2016,30Mar2017,PE,7600.00,,,,327.75,,93.15,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,7700.00,99.00,99.00,99.00,99.00,99.00,99.00,1.00,5.85,0.07,75.00,75.00,8192.90
NIFTY,01Dec2016,30Mar2017,PE,7800.00,,,,150.00,150.00,141.40,,,,150.00,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,7900.00,155.00,158.00,155.00,156.50,158.00,156.50,2.00,12.08,0.23,4575.00,150.00,8192.90
NIFTY,01Dec2016,30Mar2017,PE,8000.00,163.70,182.50,163.70,177.10,175.60,177.10,35.00,214.58,4.58,157575.00,975.00,8192.90
NIFTY,01Dec2016,30Mar2017,PE,8100.00,,,,200.00,200.00,242.25,,,,73425.00,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,8200.00,,,,260.00,260.00,284.30,,,,1575.00,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,8300.00,,,,310.00,310.00,330.60,,,,2325.00,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,8400.00,300.00,300.00,300.00,300.00,300.00,300.00,1.00,6.53,0.23,2550.00,75.00,8192.90
NIFTY,01Dec2016,30Mar2017,PE,8500.00,,,,406.35,406.35,435.85,,,,159225.00,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,8600.00,,,,766.65,,494.60,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,8700.00,,,,821.85,,557.30,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,8800.00,,,,878.95,,623.70,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,8900.00,,,,280.00,280.00,693.60,,,,72375.00,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,9000.00,710.10,739.05,700.00,720.00,720.00,720.00,84.00,611.50,44.50,6675.00,4125.00,8192.90
NIFTY,01Dec2016,30Mar2017,PE,9100.00,,,,1061.20,,843.20,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,9200.00,,,,1125.40,,922.20,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,9300.00,,,,1191.20,,1003.75,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,9400.00,,,,1258.60,,1087.50,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,9500.00,,,,1327.85,,1173.30,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,9600.00,,,,1398.20,,1260.90,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,9700.00,,,,1469.95,,1350.05,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,9800.00,,,,1543.00,,1440.65,,,,,,8192.90
NIFTY,01Dec2016,30Mar2017,PE,9900.00,,,,1616.95,,1532.40,,,,,,8192.90
NIFTY,02Dec2016,30Mar2017,PE,10000.00,,,,1692.40,,1729.15,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,10100.00,,,,1768.90,,1823.65,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,10200.00,,,,1866.05,,1918.75,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,10300.00,,,,1931.00,,2014.35,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,10400.00,,,,1879.40,,2110.40,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,10500.00,,,,1916.75,,2206.85,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,10600.00,,,,1928.60,,2303.60,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,10700.00,,,,1884.90,,2400.55,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,10800.00,,,,1921.50,,2497.75,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,10900.00,,,,1941.60,,2595.10,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,11000.00,,,,1938.25,,2692.55,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,11100.00,,,,1942.25,,2790.15,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,11200.00,,,,1982.55,,2887.80,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,11300.00,,,,1935.15,,2985.50,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,11400.00,,,,2021.40,,3083.30,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,5100.00,,,,5.70,,,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,5200.00,,,,9.10,,,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,5300.00,,,,7.35,,0.05,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,5400.00,,,,9.45,,0.05,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,5500.00,,,,12.00,,0.05,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,5600.00,,,,15.10,,0.05,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,5700.00,,,,18.85,,0.10,,,,,,8086.80
NIFTY,02Dec2016,30Mar2017,PE,5800.00,,,,23.30,,0.20,,,,,,8086.80
