Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
03-OCT-2023,44561.5,44566.3,44243.1,44399.05,192648191,8839.94
04-OCT-2023,44108.15,44161.35,43857.5,43964.05,310337941,13684.99
05-OCT-2023,44181.35,44391.85,44108.3,44213.35,243397808,8920.31
06-OCT-2023,44395.4,44500.7,44242.95,44360.6,157546711,5072.44
09-OCT-2023,44057.8,44113.2,43796.75,43886.5,162329888,5048.43
10-OCT-2023,44027.55,44487.25,44004.55,44360.15,175255784,7051.3
11-OCT-2023,44554.9,44710.55,44411.4,44516.9,213743273,8163.77
12-OCT-2023,44571.55,44693.05,44530.05,44599.2,112113681,5310.57
13-OCT-2023,44322.05,44563.05,44203.7,44287.95,169909362,8569.73
16-OCT-2023,44204.75,44356.95,44044.4,44225.9,140416279,5070.04
17-OCT-2023,44589.8,44589.85,44336.95,44409.5,120502257,6287.85
18-OCT-2023,44404.2,44412.5,43861.45,43888.7,217182886,7931.28
19-OCT-2023,43616.75,44058.8,43558.1,43754.5,156629503,7930.9
20-OCT-2023,43584.25,43877.5,43567.45,43723.05,152394312,6198.69
23-OCT-2023,43822.7,43831.3,43029.45,43151.2,201404300,7591.04
25-OCT-2023,43308.3,43397.45,42758.4,42832,188273620,7402.28
26-OCT-2023,42708.4,42716.2,42105.4,42280.15,307071946,12780.76
27-OCT-2023,42555.6,42840.15,42482.75,42782,213867839,7515.61
30-OCT-2023,42721.4,43112.5,42390.5,43039.15,188984726,5999.82
31-OCT-2023,43356.85,43356.85,42797.15,42845.95,157391487,7678.31
01-NOV-2023,42694.25,42815.15,42589.65,42700.95,145213582,6822.53
02-NOV-2023,43018.7,43271.5,42796.45,43017.2,144713411,7556.85
03-NOV-2023,43318.3,43416.1,43221,43318.25,124077759,4910.1
06-NOV-2023,43627.75,43648.7,43415.2,43619.4,149913775,6574.44
07-NOV-2023,43598.85,43799.35,43283.85,43737.9,198173326,9289.17
08-NOV-2023,43791.8,43797.55,43547.75,43658.65,163438317,8174.1
09-NOV-2023,43626.1,43876.75,43542.65,43683.6,108890302,5404.57
10-NOV-2023,43543.25,43908.7,43504.95,43820.1,89974914,4066.49
12-NOV-2023,44054.5,44056,43916.6,43996.65,26541813,876.91
13-NOV-2023,43915.1,43970.75,43681.4,43891.25,169596833,6306.65
15-NOV-2023,44398.45,44408.55,44164.55,44201.7,202535584,9618.46
16-NOV-2023,44251.7,44420.95,44064.15,44161.55,144312535,7219.22
17-NOV-2023,43656.25,43872.85,43513.85,43583.95,227415842,9025.22
20-NOV-2023,43591.5,43724,43450.05,43584.95,124319579,5666.42
21-NOV-2023,43790.95,43790.95,43586.45,43689.15,108196578,5746.35
22-NOV-2023,43663.6,43692.5,43230.95,43449.6,150863505,7329.92
23-NOV-2023,43452.75,43649.65,43451.35,43577.5,72280382,3834.27
24-NOV-2023,43607.35,43806.5,43566.15,43769.1,96846530,4775.9
28-NOV-2023,43851.55,43960.3,43739.8,43880.95,151249387,7047.12
29-NOV-2023,44081.75,44630.35,44003.45,44566.45,152338716,7734.64
30-NOV-2023,44711.2,44764.8,44254.6,44481.75,343168253,21570.23
01-DEC-2023,44580.15,44951.1,44531.75,44814.2,204927587,8180.31
04-DEC-2023,45671.5,46484.45,45484.2,46431.4,311170393,14550.11
05-DEC-2023,46895.9,47230.55,46653.65,47012.25,326064098,15573.44
06-DEC-2023,47256.75,47259.85,46750.2,46834.55,244245159,10666.48
07-DEC-2023,46735.4,46927.7,46507.15,46841.4,208148115,6747.85
08-DEC-2023,46797.2,47303.65,46793.9,47262,218254038,9180.03
11-DEC-2023,47233.3,47588,47186.6,47314.25,182500023,7276.41
12-DEC-2023,47421.7,47454,47004.05,47097.55,181986087,8796.84
13-DEC-2023,47190.75,47201.95,46886.9,47092.25,202304718,8905.84
14-DEC-2023,47567.65,47943.6,47510.85,47732.3,193093079,9839.45
15-DEC-2023,47939.9,48219.95,47632.85,48143.55,313865426,20163.08
18-DEC-2023,48068.5,48076.6,47806.7,47867.7,157255424,6762.4
19-DEC-2023,47940.4,48017,47646.05,47870.9,189789200,7801.73
20-DEC-2023,48085.35,48166.15,47202.65,47445.3,242487993,10779.73
21-DEC-2023,47172.45,47932.4,46919.7,47840.15,207998676,10008.37
22-DEC-2023,47837.75,48071.4,47415.85,47491.85,165824495,10615.92
26-DEC-2023,47576.4,47838.45,47411.65,47724.85,118747478,6180.81
27-DEC-2023,47818.5,48347.65,47806.7,48282.2,184934337,7976.75
28-DEC-2023,48479.05,48636.45,48343.15,48508.55,391088458,14240.16
29-DEC-2023,48374.85,48477.7,48091.85,48292.25,173986713,7476.67
01-JAN-2024,48203.45,48450,48044.15,48234.3,146861652,4959.89
