Symbol,Date,Expiry,Option type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int,Change in OI,Underlying Value
BANKNIFTY,04Jan2024,07Feb2024,CE,41500.00,,,,6499.10,,6956.30,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,42000.00,,,,6007.00,,6459.95,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,42500.00,,,,5517.95,,5964.20,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,43000.00,,,,5033.70,,5469.70,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,43500.00,,,,4556.35,,4977.45,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,44000.00,,,,4088.70,,4489.10,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,44500.00,,,,3634.05,,4007.20,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,45000.00,,,,3196.15,,3535.05,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,45200.00,,,,3026.55,,3349.95,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,45300.00,,,,2943.10,,3258.30,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,45400.00,,,,2860.55,,3167.35,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,45500.00,,,,2779.00,,3077.15,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,45600.00,,,,2698.40,,2987.70,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,45700.00,,,,2618.85,,2899.10,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,45800.00,,,,2540.35,,2811.35,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,45900.00,,,,2462.90,,2724.50,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,46000.00,,,,2386.60,,2638.65,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,46100.00,,,,2311.40,,2553.75,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,46200.00,,,,2239.10,,2469.95,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,46300.00,,,,2164.15,,2387.20,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,46400.00,,,,2092.55,,2305.60,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,46500.00,,,,2022.25,,2225.20,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,46600.00,,,,1953.20,,2146.05,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,46700.00,,,,1885.45,,2068.15,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,46800.00,,,,1819.00,,1991.60,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,46900.00,,,,1753.85,,1916.40,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,47000.00,,,,1690.10,,1842.60,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,47100.00,,,,1627.70,,1770.25,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,47200.00,,,,1566.65,,1699.35,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,47300.00,,,,1507.00,,1629.95,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,47400.00,,,,1448.75,,1562.15,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,47500.00,,,,1391.90,,1495.85,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,CE,47600.00,,,,1336.45,,1431.20,,,,,,48195.85
