Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,04Jan2024,07Feb2024,PE,41500.00,,,,5.05,,0.35,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,42000.00,,,,9.45,,0.85,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,42500.00,,,,16.95,,1.95,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,43000.00,,,,29.20,,4.30,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,43500.00,,,,48.35,,8.95,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,44000.00,,,,77.20,,17.45,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,44500.00,,,,119.10,,32.40,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,45000.00,,,,177.70,,57.15,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,45200.00,,,,206.75,,70.75,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,45300.00,,,,222.60,,78.50,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,45400.00,,,,239.35,,86.95,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,45500.00,,,,257.10,,96.10,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,45600.00,,,,275.80,,106.05,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,45700.00,,,,295.55,,116.80,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,45800.00,,,,316.35,,128.45,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,45900.00,,,,338.20,,140.95,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,46000.00,,,,361.20,,154.45,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,46100.00,,,,385.30,,168.95,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,46200.00,,,,412.35,,184.50,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,46300.00,,,,436.65,,201.15,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,46400.00,,,,464.40,,218.95,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,46500.00,,,,493.35,,237.90,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,46600.00,,,,523.60,,258.15,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,46700.00,,,,555.15,,279.60,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,46800.00,,,,588.05,,302.40,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,46900.00,,,,622.20,,326.60,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,47000.00,,,,657.75,,352.15,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,47100.00,,,,694.65,,379.15,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,47200.00,,,,732.90,,407.65,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,47300.00,,,,772.55,,437.65,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,47400.00,,,,813.60,,469.20,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,47500.00,,,,856.05,,502.30,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,47600.00,606.30,606.30,606.25,606.25,606.25,537.00,3.00,21.69,0.27,45.00,45.00,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,47700.00,,,,945.20,,573.30,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,47800.00,,,,991.95,,611.30,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,47900.00,,,,1040.05,,650.90,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,48000.00,,,,1089.40,,692.20,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,48100.00,839.90,839.90,661.00,672.35,661.00,672.35,21.00,153.79,2.28,120.00,120.00,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,48200.00,1252.35,1252.35,688.65,702.60,712.50,702.60,12.00,88.22,1.46,150.00,150.00,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,48300.00,,,,1246.50,,826.25,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,48400.00,,,,1301.65,,874.35,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,48500.00,,,,1358.20,,924.15,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,48600.00,,,,1416.10,,975.65,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,48700.00,,,,1475.40,,1028.80,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,48800.00,,,,1536.05,,1083.70,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,48900.00,,,,1598.00,,1140.20,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,49000.00,,,,1661.30,,1198.40,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,49100.00,,,,1725.90,,1258.25,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,49200.00,,,,1791.75,,1319.70,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,49300.00,,,,1858.85,,1382.70,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,49400.00,,,,1927.20,,1447.30,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,49500.00,,,,1996.75,,1513.45,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,49600.00,,,,2067.45,,1581.10,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,49700.00,,,,2139.35,,1650.20,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,49800.00,,,,2212.40,,1720.80,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,49900.00,,,,2288.70,,1792.75,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,50000.00,,,,2364.15,,1866.05,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,50100.00,,,,2438.55,,1940.75,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,50200.00,,,,2515.85,,2016.65,,,,,,48195.85
BANKNIFTY,04Jan2024,07Feb2024,PE,50500.00,,,,2753.60,,2251.85,,,,,,48195.85
