Symbol,Date,Expiry,Option type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int,Change in OI,Underlying Value
BANKNIFTY,06May2024,31Jul2024,CE,40500.00,,,,8510.15,,9098.80,,,,,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,41000.00,,,,8034.10,,8614.85,,,,,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,41500.00,,,,7562.75,,8133.85,,,,,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,42000.00,,,,7097.10,,7656.70,,,,,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,42500.00,,,,5600.00,5600.00,7184.45,,,,15.00,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,43000.00,,,,6187.90,,6718.30,,,,,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,43500.00,,,,5747.10,,6259.55,,,,,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,44000.00,,,,5317.35,,5809.65,,,,,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,44500.00,,,,4900.20,,5370.15,,,,,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,45000.00,,,,4497.05,,4942.70,,,,,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,45200.00,,,,4340.05,,4775.45,,,,,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,45300.00,,,,4262.50,,4692.65,,,,,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,45400.00,,,,4185.60,,4610.45,,,,,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,45500.00,,,,4109.40,,4528.90,,,,,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,45600.00,,,,4033.80,,4447.90,,,,,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,45700.00,,,,3958.95,,4367.55,,,,,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,45800.00,,,,3884.75,,4287.85,,,,,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,45900.00,,,,3813.10,,4208.75,,,,,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,46000.00,,,,3740.15,,4130.35,,,,,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,46100.00,,,,3667.95,,4052.60,,,,,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,46200.00,,,,3596.45,,3975.55,,,,,,48895.30
BANKNIFTY,06May2024,31Jul2024,CE,46300.00,,,,3525.75,,3899.20,,,,,,48895.30
