Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,02May2024,31Jul2024,PE,40500.00,,,,35.05,,15.10,,,,,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,41000.00,,,,49.35,,22.20,,,,,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,41500.00,,,,68.30,,32.10,,,,,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,42000.00,,,,92.95,,45.50,,,,,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,42500.00,,,,124.50,,63.35,,,,,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,43000.00,,,,164.35,,86.80,,,,,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,43500.00,,,,213.80,,117.00,,,,,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,44000.00,200.00,220.00,174.95,205.00,205.00,205.00,146.00,967.95,4.35,2130.00,2100.00,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,44500.00,,,,347.50,,203.20,,,,,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,45000.00,279.95,320.00,279.95,309.95,309.95,309.95,140.00,951.37,6.37,2970.00,1095.00,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,45200.00,,,,473.75,,289.05,,,,,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,45300.00,,,,494.30,,303.30,,,,,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,45400.00,276.05,276.05,276.05,276.05,276.05,318.10,2.00,13.70,0.08,,30.00,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,45500.00,,,,537.25,,333.50,,,,,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,45600.00,,,,559.75,,349.40,,,,,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,45700.00,,,,582.95,,365.90,,,,,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,45800.00,,,,606.80,,383.00,,,,,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,45900.00,,,,633.20,,400.70,,,,,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,46000.00,420.00,475.00,420.00,462.85,461.55,462.85,146.00,1017.31,9.91,7935.00,315.00,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,46100.00,,,,684.20,,437.90,,,,,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,46200.00,,,,710.75,,457.45,,,,,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,46300.00,,,,523.05,523.05,477.65,,,,90.00,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,46400.00,,,,764.30,,498.50,,,,,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,46500.00,550.00,550.00,517.00,545.00,545.00,545.00,10.00,70.56,0.81,135.00,135.00,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,46600.00,,,,823.05,,542.20,,,,,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,46700.00,,,,853.55,,565.10,,,,,,49231.05
BANKNIFTY,02May2024,31Jul2024,PE,46800.00,,,,884.85,,588.65,,,,,,49231.05
