Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,01Dec2016,25Jan2017,CE,10000.00,1.40,1.55,1.40,1.50,1.50,1.50,8.00,60.01,0.01,1050.00,600.00,8192.90
NIFTY,01Dec2016,25Jan2017,CE,10050.00,,,,6.85,,1.10,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,10100.00,,,,5.70,,0.90,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,10150.00,,,,4.00,,0.70,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,6450.00,,,,1553.40,,1804.30,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,6500.00,,,,1650.00,1650.00,1754.80,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,6550.00,,,,1600.40,,1705.35,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,6600.00,,,,1560.00,1560.00,1655.90,,,,75.00,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,6650.00,,,,1545.80,,1606.45,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,6700.00,,,,1497.25,,1557.05,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,6750.00,,,,1448.90,,1507.70,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,6800.00,,,,1585.95,,1458.40,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,6850.00,,,,1537.05,,1409.20,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,6900.00,,,,1488.25,,1360.05,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,6950.00,,,,1585.15,,1311.05,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,7000.00,1258.00,1270.00,1234.00,1238.50,1234.00,1238.50,32.00,198.22,30.22,18300.00,2400.00,8192.90
NIFTY,01Dec2016,25Jan2017,CE,7050.00,,,,1571.75,,1213.45,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,7100.00,,,,1042.05,1042.05,1165.00,,,,450.00,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,7150.00,,,,1582.80,,1116.75,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,7200.00,,,,1533.75,,1068.85,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,7250.00,,,,1484.75,,1021.30,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,7300.00,,,,837.60,837.60,974.15,,,,825.00,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,7350.00,,,,1387.00,,927.50,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,7400.00,,,,723.65,723.65,881.45,,,,300.00,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,7450.00,,,,1289.65,,835.95,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,7500.00,792.70,828.50,770.00,770.00,770.00,770.00,36.00,223.80,21.30,33975.00,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,7550.00,,,,1192.90,,747.25,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,7600.00,,,,693.00,693.00,704.15,,,,1950.00,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,7650.00,,,,1097.05,,662.00,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,7700.00,,,,572.00,572.00,620.90,,,,2250.00,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,7750.00,,,,1002.50,,580.90,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,7800.00,530.00,530.00,520.45,520.45,520.45,520.45,5.00,31.23,1.98,12750.00,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,7850.00,,,,909.70,,504.90,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,7900.00,445.65,445.65,420.00,420.00,420.00,420.00,11.00,68.77,3.59,26400.00,375.00,8192.90
NIFTY,01Dec2016,25Jan2017,CE,7950.00,,,,819.15,,433.60,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,8000.00,384.70,384.70,339.95,342.80,340.55,342.80,170.00,1066.10,46.10,692100.00,1200.00,8192.90
NIFTY,01Dec2016,25Jan2017,CE,8050.00,,,,731.55,,368.50,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,8100.00,300.00,310.00,269.00,272.10,270.40,272.10,307.00,1931.83,66.80,486825.00,675.00,8192.90
NIFTY,01Dec2016,25Jan2017,CE,8150.00,,,,647.45,,309.60,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,8200.00,231.40,243.75,205.00,208.05,208.00,208.05,2225.00,14059.80,376.05,815475.00,9000.00,8192.90
NIFTY,01Dec2016,25Jan2017,CE,8250.00,,,,567.50,,256.95,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,8300.00,178.00,188.70,151.15,153.20,151.80,153.20,4277.00,27147.62,523.29,629775.00,124275.00,8192.90
NIFTY,01Dec2016,25Jan2017,CE,8350.00,,,,492.70,,210.70,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,8400.00,132.00,134.00,105.85,108.65,108.45,108.65,4987.00,31856.81,438.71,681825.00,89850.00,8192.90
NIFTY,01Dec2016,25Jan2017,CE,8450.00,,,,422.60,,170.65,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,8500.00,91.25,93.35,72.05,73.75,73.80,73.75,5090.00,32759.44,310.69,730575.00,53100.00,8192.90
NIFTY,01Dec2016,25Jan2017,CE,8550.00,,,,358.70,,136.45,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,CE,8600.00,56.80,62.20,47.10,48.60,48.70,48.60,3181.00,20646.76,129.31,357825.00,47550.00,8192.90
