Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,01Dec2016,25Jan2017,PE,10000.00,1690.00,1725.00,1690.00,1722.50,1725.00,1722.50,8.00,70.21,10.21,1050.00,600.00,8192.90
NIFTY,01Dec2016,25Jan2017,PE,10050.00,,,,1276.90,,1762.60,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,PE,10100.00,,,,1324.95,,1811.95,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,PE,10150.00,,,,1353.40,,1861.30,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,PE,6450.00,,,,1.45,,0.10,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,PE,6500.00,,,,1.90,,0.10,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,PE,6550.00,,,,0.85,,0.15,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,PE,6600.00,,,,2.60,,0.25,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,PE,6650.00,,,,3.30,,0.35,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,PE,6700.00,,,,4.10,,0.45,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,PE,6750.00,,,,5.10,,0.60,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,PE,6800.00,,,,1.45,,0.85,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,PE,6850.00,,,,1.90,,1.15,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,PE,6900.00,,,,2.40,,1.55,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,PE,6950.00,,,,0.10,,2.05,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,PE,7000.00,9.65,11.00,9.45,10.10,9.75,10.10,275.00,1445.82,2.07,70800.00,300.00,8192.90
NIFTY,01Dec2016,25Jan2017,PE,7050.00,,,,0.20,,3.55,,,,,,8192.90
NIFTY,01Dec2016,25Jan2017,PE,7100.00,11.15,12.50,11.15,12.00,12.00,12.00,57.00,304.03,0.51,9000.00,825.00,8192.90
NIFTY,01Dec2016,25Jan2017,PE,7150.00,,,,0.40,,5.90,,,,,,8192.90
