Symbol,Date,Expiry,Option type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int,Change in OI,Underlying Value  
BANKNIFTY,02-May-2024,05-Jun-2024,CE,42000.00,-,-,-,7691.10,-,7517.05,-,-,-,-,-,49231.05
BANKNIFTY,02-May-2024,05-Jun-2024,CE,42500.00,-,-,-,7195.95,-,7021.85,-,-,-,-,-,49231.05
BANKNIFTY,02-May-2024,05-Jun-2024,CE,43000.00,-,-,-,6701.95,-,6527.85,-,-,-,-,-,49231.05
BANKNIFTY,02-May-2024,05-Jun-2024,CE,43500.00,-,-,-,6209.85,-,6035.80,-,-,-,-,-,49231.05
BANKNIFTY,02-May-2024,05-Jun-2024,CE,44000.00,-,-,-,5720.65,-,5546.90,-,-,-,-,-,49231.05
BANKNIFTY,02-May-2024,05-Jun-2024,CE,44500.00,-,-,-,5236.00,-,5062.75,-,-,-,-,-,49231.05
BANKNIFTY,02-May-2024,05-Jun-2024,CE,45000.00,-,-,-,4757.85,-,4585.60,-,-,-,-,-,49231.05
BANKNIFTY,02-May-2024,05-Jun-2024,CE,45500.00,-,-,-,4288.75,-,4118.10,-,-,-,-,-,49231.05
BANKNIFTY,02-May-2024,05-Jun-2024,CE,46000.00,-,-,-,3831.75,-,3663.55,-,-,-,-,-,49231.05
BANKNIFTY,02-May-2024,05-Jun-2024,CE,46400.00,-,-,-,3477.15,-,3311.70,-,-,-,-,-,49231.05
BANKNIFTY,02-May-2024,05-Jun-2024,CE,46500.00,-,-,-,3390.30,-,3225.65,-,-,-,-,-,49231.05
BANKNIFTY,02-May-2024,05-Jun-2024,CE,46600.00,-,-,-,3304.20,-,3140.40,-,-,-,-,-,49231.05
BANKNIFTY,02-May-2024,05-Jun-2024,CE,46700.00,-,-,-,3218.90,-,3056.00,-,-,-,-,-,49231.05
BANKNIFTY,02-May-2024,05-Jun-2024,CE,46800.00,-,-,-,3134.45,-,2972.50,-,-,-,-,-,49231.05
BANKNIFTY,02-May-2024,05-Jun-2024,CE,46900.00,-,-,-,3050.85,-,2889.90,-,-,-,-,-,49231.05
BANKNIFTY,02-May-2024,05-Jun-2024,CE,47000.00,-,-,-,2968.15,-,2808.25,-,-,-,-,-,49231.05
