Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,02May2024,05Jun2024,PE,42000.00,4.40,4.40,4.40,4.40,4.40,1.40,3.00,18.90,,45.00,45.00,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,42500.00,,,,2.75,,2.80,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,43000.00,,,,5.25,,5.40,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,43500.00,,,,9.65,,9.95,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,44000.00,,,,17.00,,17.65,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,44500.00,,,,28.85,,30.15,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,45000.00,,,,47.20,,49.60,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,45500.00,,,,74.60,,78.70,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,46000.00,,,,114.10,,120.80,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,46400.00,,,,156.75,,166.20,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,46500.00,,,,169.20,,179.45,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,46600.00,,,,182.40,,193.55,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,46700.00,,,,196.40,,208.45,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,46800.00,,,,211.25,,224.25,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,46900.00,,,,226.95,,241.00,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,47000.00,,,,243.55,,258.70,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,47100.00,,,,261.05,,277.35,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,47200.00,,,,279.55,,297.00,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,47300.00,,,,299.00,,317.70,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,47400.00,,,,319.45,,339.45,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,47500.00,,,,340.95,,362.35,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,47600.00,,,,363.55,,386.35,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,47700.00,,,,387.20,,413.30,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,47800.00,,,,413.90,,439.40,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,47900.00,,,,439.60,,464.95,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,48000.00,,,,464.60,,493.75,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,48100.00,,,,492.90,,523.80,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,48200.00,,,,522.45,,555.15,,,,,,49231.05
BANKNIFTY,02May2024,05Jun2024,PE,48300.00,,,,553.25,,587.75,,,,,,49231.05
